20190416_1421
Trial Settings	AS	CO	NP
Trial Number	1
Language of Task (English = 1, French = 2)	1	Target Set	1
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
4013.389701117	0.014371874787685	0	0	0	0	-0.22071239352226	0.050900105386972	-0.19867792725563	0.17962962388992	0.17962962388992	0.054217588156462	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4025158586	0.027186616367999	0	0	0	0	-0.22071133553982	0.050883419811726	-0.19869403541088	0.17958676815033	0.17958676815033	0.054193984717131	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4125158586	0.037186616368672	0	0	0	0	-0.22070513665676	0.050811056047678	-0.19871358573437	0.1795956492424	0.1795956492424	0.05419984832406	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4232324059	0.047903163657338	0	0	0	0	-0.22069032490253	0.050819884985685	-0.19873252511024	0.17951011657715	0.17951011657715	0.054208289831877	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.435058473	0.059729230765242	0	0	0	0	-0.22066521644592	0.050787322223186	-0.19872851669788	0.17954137921333	0.17954137921333	0.05422917753458	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.445058473	0.069729230765915	0	0	0	0	-0.22065761685371	0.050756704062223	-0.19876371324062	0.17950102686882	0.17950102686882	0.054225020110607	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.455058473	0.079729230766588	0	0	0	0	-0.2206557393074	0.050759449601173	-0.19875907897949	0.17957688868046	0.17957688868046	0.054352328181267	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4667429926	0.091413750337324	0	0	0	0	-0.22064223885536	0.050740156322718	-0.19879910349846	0.17954130470753	0.17954130470753	0.054351311177015	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4767429926	0.101413750338	0	0	0	0	-0.22064402699471	0.050705105066299	-0.19881054759026	0.1795597076416	0.1795597076416	0.054348789155483	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4867717402	0.11144249791732	0	0	0	0	-0.22064919769764	0.050653211772442	-0.19883304834366	0.17949855327606	0.17949855327606	0.054340954869986	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.4985577909	0.12322854868216	0	0	0	0	-0.22061213850975	0.050619211047888	-0.19886010885239	0.17948535084724	0.17948535084724	0.054389782249928	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.5085577909	0.13322854868284	0	0	0	0	-0.22060461342335	0.050594761967659	-0.19886368513107	0.17941148579121	0.17941148579121	0.054457455873489	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.5185577909	0.14322854868351	0	0	0	0	-0.22059725224972	0.050598796457052	-0.19886304438114	0.17943958938122	0.17943958938122	0.054492931813002	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4013.5302155326	0.1548862904001	0	0	0	0	-0.22060629725456	0.050609394907951	-0.19886440038681	0.1793540418148	0.1793540418148	0.054521940648556	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
